DeploymentID,StudyAreaID,LocationID,Ownership,UTM_E,UTM_N,UTM_Zone,UTM_Datum,StartDate,EndDate,TimeOfDay,DominantSubstrate,TrailType,PositionOnSlope,HabitatRuggedness,TopographicFeature,VegetationType,RangelandUse,HumanVisitation,DistanceToHumanHabitat,HumanHabitatType,DistanceToRoad,RoadType,Azimuth,Notes
7,1,4-Deer,,,,,,,,,,,,,,,,,,,,,,
8,1,Boulder Ridge,,,,,,,,,,,,,,,,,,,,,,
9,1,Plot,,,,,,,,,,,,,,,,,,,,,,
10,1,Ravine 2,,,,,,,,,,,,,,,,,,,,,,
11,1,Ravine 3,,,,,,,,,,,,,,,,,,,,,,
12,1,Top,,,,,,,,,,,,,,,,,,,,,,
13,1,Towers,,,,,,,,,,,,,,,,,,,,,,
14,1,Towers Trail,,,,,,,,,,,,,,,,,,,,,,
24,3,Burnt Ridge,,,,,,,,,,,,,,,,,,,,,,
25,3,Deer Slope,,,,,,,,,,,,,,,,,,,,,,
26,3,Homestead,,,,,,,,,,,,,,,,,,,,,,
27,3,Old Redstone Road Intersection,,,,,,,,,,,,,,,,,,,,,,
28,3,Soldier Canyon,,,,,,,,,,,,,,,,,,,,,,
29,3,South valley-Loop,,,,,,,,,,,,,,,,,,,,,,
30,3,West Ridge Trail North,,,,,,,,,,,,,,,,,,,,,,
31,4,Saddle,,,,,,,,,,,,,,,,,,,,,,
32,3,Buckhorn Overlook,,,,,,,,,Rocky,Well Defined,Upper,Rolling,Hill-slope,Mixed woodland-shrub,No use,Daily,<50m,Single Residence,<50m,4-wheel,North,replaced broken cell phone camera
33,2,EVS1,1,,,,,,,,,,,,,,,,,,,,,
34,2,EVS2,2,,,,,,,,,,,,,,,,,,,,,
35,2,VL1,3,,,,,,,,,,,,,,,,,,,,,
36,2,VL2,4,,,,,,,,,,,,,,,,,,,,,
37,2,PL1,5,,,,,,,,,,,,,,,,,,,,,
38,2,PL2,6,,,,,,,,,,,,,,,,,,,,,
39,2,DR1,7,,,,,,,,,,,,,,,,,,,,,
40,2,DR2,8,,,,,,,,,,,,,,,,,,,,,
41,2,Ladle Springs A,9,,,,,,,,,,,,,,,,,,,,,
42,2,Ladle Springs B,10,,,,,,,,,,,,,,,,,,,,,
43,2,Plum Drainage,11,,,,,,,,,,,,,,,,,,,,,
44,2,Cabin,12,,,,,,,,,,,,,,,,,,,,,
45,2,Ladle Springs C,13,,,,,,,,,,,,,,,,,,,,,
