DeploymentID,StudyAreaID,LocationID,Ownership,UTM_E,UTM_N,UTM_Zone,UTM_Datum,StartDate,EndDate,TimeOfDay,DominantSubstrate,TrailType,PositionOnSlope,HabitatRuggedness,TopographicFeature,VegetationType,RangelandUse,HumanVisitation,DistanceToHumanHabitat,HumanHabitatType,DistanceToRoad,RoadType,Azimuth,Notes
1,1,EVS1,,,,,,,,,,,,,,,,,,,,,,
2,1,EVS2,,,,,,,,,,,,,,,,,,,,,,
3,1,VL1,,,,,,,,,,,,,,,,,,,,,,
4,1,VL2,,,,,,,,,,,,,,,,,,,,,,
5,1,PL1,,,,,,,,,,,,,,,,,,,,,,
6,1,PL2,,,,,,,,,,,,,,,,,,,,,,
7,1,DR1,,,,,,,,,,,,,,,,,,,,,,
8,1,DR2,,,,,,,,,,,,,,,,,,,,,,
9,1,Ladle Springs A,,,,,,,,,,,,,,,,,,,,,,
10,1,Ladle Springs B,,,,,,,,,,,,,,,,,,,,,,
11,1,Plum Drainage,,,,,,,,,,,,,,,,,,,,,,
12,1,Cabin,,,,,,,,,,,,,,,,,,,,,,
13,1,Ladle Springs C,,,,,,,,,,,,,,,,,,,,,,
