DeploymentID,StudyAreaID,LocationID,Ownership,UTM_E,UTM_N,UTM_Zone,UTM_Datum,StartDate,EndDate,TimeOfDay,DominantSubstrate,TrailType,PositionOnSlope,HabitatRuggedness,TopographicFeature,VegetationType,RangelandUse,HumanVisitation,DistanceToHumanHabitat,HumanHabitatType,DistanceToRoad,RoadType,Azimuth,Notes
7,1,4-Deer,,480945.3832914458,4481184.436760134,13,,,,,,,,,,,,,,,,,,
8,1,Boulder Ridge,,,,,,,,,,,,,,,,,,,,,,
9,1,Plot,,,,,,,,,,,,,,,,,,,,,,
10,1,Ravine 2,,,,,,,,,,,,,,,,,,,,,,
11,1,Ravine 3,,,,,,,,,,,,,,,,,,,,,,
12,1,Top,,,,,,,,,,,,,,,,,,,,,,
13,1,Towers,,,,,,,,,,,,,,,,,,,,,,
14,1,Towers Trail,,,,,,,,,,,,,,,,,,,,,,
16,2,Cabin,,,,,,,,,,,,,,,,,,,,,,
17,2,DR1,,,,,,,,,,,,,,,,,,,,,,
18,2,DR2,,,,,,,,,,,,,,,,,,,,,,
19,2,EVS1,,,,,,,,,,,,,,,,,,,,,,
20,2,EVS2,,,,,,,,,,,,,,,,,,,,,,
21,2,Ladle Springs,,,,,,,,,,,,,,,,,,,,,,
22,2,PL1,,,,,,,,,,,,,,,,,,,,,,
23,2,VL2,,,,,,,,,,,,,,,,,,,,,,
24,3,Burnt Ridge,,,,,,,,,,,,,,,,,,,,,,
25,3,Deer Slope,,,,,,,,,,,,,,,,,,,,,,
26,3,Homestead,,,,,,,,,,,,,,,,,,,,,,
27,3,Old Redstone Road Intersection,,,,,,,,,,,,,,,,,,,,,,
28,3,Soldier Canyon,,,,,,,,,,,,,,,,,,,,,,
29,3,South valley-Loop,,,,,,,,,,,,,,,,,,,,,,
30,3,West Ridge Trail North,,,,,,,,,,,,,,,,,,,,,,
31,4,Saddle,,,,,,,,,,,,,,,,,,,,,,
32,3,Buckhorn Overlook,,,,,,,,,Rocky,Well Defined,Upper,Rolling,Hill-slope,Mixed woodland-shrub,No use,Daily,<50m,Single Residence,<50m,4-wheel,North,replaced broken cell phone camera
