DetectionID,SpeciesID,DetailID,Individuals,Comments,ImageID
1,39,4,1,,1
2,39,4,1,,2
3,11,,1,,3
4,36,,1,,4
5,36,,1,,5
6,39,4,1,,6
7,39,4,1,,7
8,11,,1,,8
9,69,,1,,9
10,3,,1,,10
11,3,,1,,11
12,3,,1,,12
13,39,4,2,,13
14,39,4,1,,14
15,11,,0,,15
16,11,,0,,16
17,11,,0,,17
18,36,,1,,18
19,11,,0,,19
20,11,,0,,20
21,55,,1,,21
22,36,,1,,22
23,36,,1,,23
24,36,,1,,24
25,39,4,1,,25
26,39,,1,,26
27,11,,1,,27
28,55,,1,,28
29,39,1,1,,58
30,13,,1,,59
31,39,1,1,,60
32,39,1,1,,61
33,11,,1,,62
34,24,,1,,63
35,39,,1,,63
36,24,,1,,64
37,39,,1,,64
38,39,3,1,,65
39,39,,1,,66
40,39,3,1,,67
41,39,3,1,,68
42,39,1,1,,69
43,39,1,1,,70
44,39,1,1,,71
45,39,2,1,,72
46,39,1,2,,73
47,11,,1,,74
48,39,3,1,,75
49,11,,0,,76
50,4,,1,,29
51,39,1,1,,30
52,11,,1,,31
53,39,1,1,,32
54,39,1,1,,33
55,11,,1,,34
56,11,,1,,35
57,39,1,1,,36
58,39,3,1,,37
59,11,,1,,38
60,39,1,1,,39
61,39,3,1,,40
62,39,3,1,,41
63,39,3,1,,42
64,11,,1,,43
65,39,3,1,,44
66,11,,1,,45
67,39,3,1,,46
68,39,1,5,,47
69,39,1,1,,48
70,39,1,1,,49
71,39,1,1,,50
72,39,1,1,,51
73,39,1,1,,52
74,39,1,5,,53
75,39,1,1,,54
76,39,3,1,,55
77,39,1,2,,56
78,39,1,1,,57
79,39,3,1,,77
80,39,3,1,,78
81,11,,1,,79
82,39,1,1,,80
83,39,3,1,,81
84,39,3,1,,82
85,39,3,1,,83
86,39,5,1,,84
87,39,5,1,,85
88,39,1,1,,86
89,39,1,1,,87
90,39,1,1,,88
91,11,,1,,89
92,11,,1,,90
93,39,1,1,,91
94,39,3,1,,92
95,39,3,1,,93
96,39,1,3,,94
97,11,,1,,95
98,39,1,1,,96
99,39,3,1,,97
100,39,3,2,,98
101,39,3,1,,99
102,39,3,1,,100
103,39,3,1,,101
104,39,3,1,,102
105,11,,1,,103
106,39,1,1,,104
107,39,1,1,,105
108,39,3,1,,106
109,11,,1,,107
110,39,5,1,,108
111,39,3,1,,109
112,39,5,1,,110
113,39,1,1,,111
114,39,3,1,,112
115,39,3,1,,113
116,39,3,1,,114
117,39,3,1,,115
118,39,1,1,,116
119,39,3,1,,117
120,39,3,1,,118
121,11,,1,,119
122,39,3,1,,120
123,11,,1,,121
124,39,3,1,,122
125,36,,1,,123
126,36,,1,,124
127,11,,1,,125
128,13,,1,,126
129,39,,2,,127
130,11,,1,,128
131,39,1,2,,129
132,39,3,1,,130
133,39,1,2,,131
134,39,1,2,,132
135,39,1,1,,133
136,39,1,1,,134
137,11,,1,,135
138,36,,1,,136
139,36,,1,,137
140,36,,1,,138
141,36,,1,,139
142,21,,1,,140
143,59,,1,,141
144,39,1,2,,142
145,39,1,1,,143
146,11,,1,,144
147,39,1,1,,145
148,39,1,2,,146
149,39,3,1,,147
150,39,3,1,,148
151,39,1,1,,149
152,11,,1,,150
153,39,3,1,,151
154,11,,1,,152
155,39,3,1,,153
156,39,1,2,,154
157,39,1,2,,155
158,11,,1,,156
159,21,,1,,157
160,11,,1,,158
161,39,3,1,,159
162,39,1,1,,160
163,39,1,1,,161
164,21,,1,,162
165,13,,1,,163
166,39,1,1,,164
167,39,1,1,,165
168,11,,1,,166
169,39,4,1,,167
170,39,4,1,,168
171,39,4,1,,169
172,39,4,1,,170
173,39,1,1,,171
174,11,,1,,172
175,39,1,1,,173
176,36,,1,,174
177,36,,1,,175
178,11,,1,,176
179,36,,1,,177
180,11,,1,,178
181,11,,1,,179
182,11,,1,,180
183,11,,1,,181
184,11,,1,,182
185,11,,1,,183
186,11,,1,,184
187,11,,1,,185
188,11,,1,,186
189,11,,1,,187
190,11,,1,,188
191,11,,1,,189
192,36,,1,,190
193,11,,1,,191
194,11,,1,,192
195,11,,1,,193
196,11,,1,,194
197,11,,1,,195
198,36,,1,,196
199,36,,1,,197
200,36,,1,Buck,198
201,11,,1,,199
202,39,4,1,,200
203,39,4,1,,201
204,11,,1,,202
205,39,4,1,,203
206,36,,1,,204
207,36,,1,,205
208,36,,1,,206
209,36,,1,,207
210,11,,1,,208
211,11,,1,,209
212,11,,1,,210
213,11,,1,,211
214,39,1,1,,212
215,11,,1,,213
216,36,,1,,214
217,39,1,1,,215
218,39,4,1,,216
219,39,4,1,,217
220,39,4,1,,218
221,39,4,1,,219
222,39,1,1,,220
223,39,1,1,,221
224,39,1,1,,222
225,39,1,1,,223
226,39,1,1,,224
227,39,3,1,,225
228,39,3,1,,226
229,39,1,1,,227
230,39,1,1,,228
231,39,5,1,,229
232,39,1,1,,230
233,39,1,1,,231
234,39,5,1,,232
235,39,5,1,,233
236,39,5,1,,234
237,39,3,1,,235
238,39,3,1,,236
239,11,,1,,237
240,39,3,1,,238
241,11,,1,,239
242,39,3,1,,240
243,36,,1,,241
244,36,,1,,242
245,36,,2,,243
246,13,,1,,244
247,11,,1,,245
248,11,,1,,246
249,39,3,1,,247
250,39,1,1,,248
251,11,,1,,249
252,39,1,1,,250
253,39,3,1,,251
254,11,,1,,252
255,39,3,1,,253
256,11,,1,,254
257,11,,1,,255
258,39,3,1,,256
259,39,3,1,,257
260,39,3,1,,258
261,11,,1,,259
262,39,3,1,,260
263,39,3,1,,261
264,11,,1,,262
265,39,3,1,,263
266,21,,1,,264
267,25,,1,juevenile,265
268,36,,2,,266
269,36,,3,,267
270,36,,2,,268
271,36,,3,,269
272,39,3,1,,270
273,39,3,2,,271
274,39,1,2,,272
275,39,1,4,,273
276,39,1,5,,274
277,39,1,5,,275
278,39,1,4,,276
279,39,1,3,,277
280,39,1,2,,278
281,11,,1,,279
282,39,1,2,,280
283,11,,1,,281
284,39,5,2,,282
285,39,3,1,,283
286,39,3,1,,284
287,39,1,1,,285
288,39,5,2,,286
289,39,1,1,,287
290,39,1,1,,288
291,39,3,2,,289
292,39,1,1,,290
293,39,1,2,,291
294,39,3,1,,292
295,39,3,1,,293
296,39,3,1,,294
297,39,1,1,,295
298,11,,1,,296
299,39,3,1,,297
300,39,1,1,,298
301,11,,1,,299
302,39,3,1,,300
303,39,1,1,,301
304,39,1,1,,302
305,39,1,1,,303
306,39,1,2,,304
307,39,3,1,,305
308,39,1,1,,306
309,39,5,1,,307
310,39,1,2,,307
311,11,,1,,308
312,39,3,1,,309
313,39,3,1,,310
314,39,1,1,,311
315,39,5,1,,312
316,11,,1,,313
317,11,,1,,314
318,39,1,2,,315
319,39,3,1,,316
320,11,,1,,317
321,39,3,1,,318
322,36,,1,,319
323,36,,1,,320
324,36,,1,,321
325,11,,1,,322
326,11,,1,,323
327,21,,1,,324
328,9,,1,,325
329,39,3,1,,326
330,39,3,1,,327
331,36,,1,,328
332,9,,1,,329
333,39,1,1,,330
334,39,1,1,,331
335,39,1,1,,332
336,39,1,2,,333
337,39,1,1,,334
338,39,1,1,,335
339,11,,1,,336
340,39,3,1,,337
341,39,3,1,,338
342,39,3,1,,339
343,21,,1,,340
344,11,,1,,341
345,39,1,1,,342
346,11,,1,,343
347,39,3,1,,344
348,11,,1,,345
349,39,1,1,,346
350,39,1,1,,347
351,39,1,1,,348
352,11,,1,,349
353,39,3,2,,350
354,39,1,1,,351
355,39,1,1,,352
356,39,1,1,,353
357,39,1,1,,354
358,39,3,1,,355
359,39,1,1,,355
360,39,3,1,,356
361,39,3,1,,357
362,11,,1,,358
363,36,,1,,359
364,11,,1,,360
365,39,3,1,,361
366,39,3,1,,362
367,39,3,1,,363
368,39,5,1,,364
369,39,3,1,,365
370,39,3,1,,366
371,39,3,1,,367
372,39,5,1,,368
373,39,1,1,,369
374,39,1,2,,370
375,39,3,1,,371
376,39,1,1,,372
377,39,3,1,,372
378,39,3,1,,373
379,39,1,1,,374
380,39,1,1,,375
381,39,1,1,,376
382,39,1,1,,377
383,39,3,1,,378
384,39,1,1,,379
385,39,3,1,,380
386,39,1,1,,381
387,39,1,1,,382
388,39,1,1,,383
389,39,1,1,,384
390,11,,1,,385
391,11,,1,,386
392,39,3,1,,387
393,39,1,1,,388
394,39,3,1,,389
395,39,1,1,,390
396,39,1,1,,391
397,39,1,1,,392
398,11,,1,,393
399,39,1,1,,394
400,39,3,1,,395
401,11,,1,,396
402,39,3,1,,397
403,39,3,1,,398
404,39,5,1,,399
405,39,3,1,,400
406,39,5,1,,401
407,39,1,1,,402
408,39,1,1,,403
409,39,1,2,,404
410,11,,1,,405
411,39,3,1,,406
412,11,,1,,407
413,39,3,1,,408
414,36,,1,,409
415,36,,1,,410
416,39,1,1,,411
417,39,1,1,,412
418,11,,1,,413
419,39,1,1,,414
420,39,1,1,,415
421,39,1,1,,416
422,11,,1,,417
423,39,3,1,,418
424,39,3,1,,419
425,39,3,1,,420
426,22,,1,,421
427,11,,1,,422
428,11,,1,,423
429,11,,1,,424
430,25,,1,,425
431,25,,2,,426
432,25,,1,,427
433,11,,1,,428
434,39,1,1,,429
435,11,,1,,430
436,39,1,1,,431
437,39,3,1,,432
438,11,,1,,433
439,39,3,1,,434
440,11,,1,,435
441,39,3,1,,436
442,8,,1,,437
443,39,1,2,,438
444,39,5,1,,439
445,39,1,1,,440
446,39,1,1,,441
447,39,1,1,,442
448,39,5,1,,443
449,39,1,1,,444
450,36,,1,,445
451,36,,1,,446
452,13,,1,,447
453,55,,1,,448
454,55,,1,,449
455,39,1,1,,450
456,39,1,1,,451
457,11,,1,,452
458,39,3,1,,453
459,39,1,1,,454
460,39,1,1,,455
461,21,,1,,456
462,21,,1,,457
463,36,,1,,458
464,11,,1,,459
465,36,,1,,460
466,36,,3,,461
467,36,,1,,462
468,39,3,1,,463
469,39,1,1,,464
470,39,3,1,,465
471,39,1,2,,466
472,39,3,1,,467
473,39,1,1,,468
474,39,3,2,,469
475,11,,1,,470
476,39,3,1,,471
477,11,,1,,472
478,39,3,1,,473
479,11,,1,,474
480,39,3,2,,475
481,11,,1,,476
482,39,3,1,,477
483,39,3,1,,478
484,39,1,1,,479
485,39,3,1,,480
486,39,1,2,,481
487,36,,1,,482
488,36,,1,,483
489,36,,1,,484
490,39,,1,,485
491,39,1,1,,486
492,39,3,1,,487
493,39,3,1,,488
494,39,5,1,,489
