ImageID,ImageDate,FileName,FilePath,Species,DirectionOfTravel,Highlight,DeploymentID
1,03/01/2017 7:04:00,Bobcat Ridge PL1 00001 10_5_2015 07_04.jpg,C:\Users\catvol\Dropbox\CCC Camera Study Project\Archived Photos\Archived Study Area Photos\Archived Bobcat Ridge photos\PL1\,,,0,7
2,02/15/2017 7:05:00,Bobcat Ridge PL1 00002 10_5_2015 07_05.jpg,C:\Users\catvol\Dropbox\CCC Camera Study Project\Archived Photos\Archived Study Area Photos\Archived Bobcat Ridge photos\PL1\,,,true,7
3,10/7/2015 9:07:00,Bobcat Ridge PL1 00003 10_7_2015 09_07.jpg,C:\Users\catvol\Dropbox\CCC Camera Study Project\Archived Photos\Archived Study Area Photos\Archived Bobcat Ridge photos\PL1\,,,0,5
4,10/8/2015 6:59:00,Bobcat Ridge PL1 00004 10_8_2015 06_59.jpg,C:\Users\catvol\Dropbox\CCC Camera Study Project\Archived Photos\Archived Study Area Photos\Archived Bobcat Ridge photos\PL1\,,,0,5
5,10/12/2015 5:53:00,Bobcat Ridge PL1 00005 10_12_2015 05_53.jpg,C:\Users\catvol\Dropbox\CCC Camera Study Project\Archived Photos\Archived Study Area Photos\Archived Bobcat Ridge photos\PL1\,,,0,5
6,10/16/2015 5:48:00,Bobcat Ridge PL1 00006 10_16_2015 05_48.jpg,C:\Users\catvol\Dropbox\CCC Camera Study Project\Archived Photos\Archived Study Area Photos\Archived Bobcat Ridge photos\PL1\,,,0,5
7,10/16/2015 5:49:00,Bobcat Ridge PL1 00007 10_16_2015 05_49.jpg,C:\Users\catvol\Dropbox\CCC Camera Study Project\Archived Photos\Archived Study Area Photos\Archived Bobcat Ridge photos\PL1\,,,0,5
8,10/16/2015 5:49:00,Bobcat Ridge PL1 00008 10_16_2015 05_49.jpg,C:\Users\catvol\Dropbox\CCC Camera Study Project\Archived Photos\Archived Study Area Photos\Archived Bobcat Ridge photos\PL1\,,,true,5
9,10/7/2015 16:18:03,Bobcat Ridge EVS1 00001 10_7_2015 16_18.jpg,C:\Users\catvol\Dropbox\CCC Camera Study Project\Archived Photos\Archived Study Area Photos\Archived Bobcat Ridge photos\EVS 1\,,,true,1
10,10/7/2015 16:18:31,Bobcat Ridge EVS1 00002 10_7_2015 16_18.jpg,C:\Users\catvol\Dropbox\CCC Camera Study Project\Archived Photos\Archived Study Area Photos\Archived Bobcat Ridge photos\EVS 1\,,,0,1
