SpeciesID,CommonName,LatinName,ShortcutKey
1,American Kestrel,Falco sparverius,
2,American Crow,Corvus brachyrhynchos,
3,Abert Squrriel,Spermophilus variegatus,
4,American Pika,Ochotona princeps,
5,Armadillo,Dasypus novemcinctus,
6,Barn Swallow,Hirundo rustica,
7,Big Horn Sheep,Ovis canadensis,
8,Black Bear,Ursus americanus,
9,Black-billed Magpie,Pica hudsonia,
10,Black-capped Chickadee,Poecile atricapilla,
11,Blank,,b
12,Blue Jay,Cyanocitta cristata,
13,Bobcat,Lynx rufus,
14,Cabro de Monte,,
15,Canada lynx,Lynx canadensis,
16,Codorniz,Coturnix coturnix,
17,Colorado Chipmonk,Neotamias quadrivittatus,
18,Common Ground-Dove,Columbina passerina,
19,Common Raven,Corvus corax,
20,Cooper's Hawk,Accipiter cooperii,
21,Cottontail Rabbit,Sylvilagus nuttallii,
22,Coyote,Canis latrans,c
23,Domestic Dog,,d
24,Domestic Horse,,
25,Elk,Cervus canadensis,
26,Golden Eagle,Aquila chrysaetos,
27,Great Horned Owl,Bubo virginianus,
28,Guatuza,Dasyprocta punctata,
29,Least Chipmonk,Neotamias minimus,
30,Manigordo,Leopardus pardalis,
31,Moose,Alces alces,
32,Mountain Bluebird,Sialia currucoides,
33,Mountain Chickadee,Poecile gambeli,
34,Mountain Goat,Oreamnos americanus,
35,Mourning Dove,Aenaida macroura,
36,Mule Deer,Odocoileus hemionus,m
37,Osprey,Pandion haliaetus,
38,Pava Negra,Chamaepetes unicolor,
39,People,,p
40,Pizote,Nasua narica,
41,Mountain Lion,Puma concolor,
42,Raccoon,Procyon lotor,
43,Red Fox,Vulpes vulpes,r
44,Red Fox Black Phase,Vulpes vulpes,
45,Red-tailed Hawk,Buteo jamaicensis,
46,Red-winged Blackbird,Agelaius phoeniceus,
47,Saino,Tayassu tajacu,
48,Snowshoe Hare,Lepus americanus,
49,Stellers Jay,Cyanocitta stellerii,
50,Striped skunk,Mephitis mephitis,s
51,Swainson's Hawk,Buteo swainsoni,
52,Tolomuco,Eira barbara,
53,Tree Swallow,Tachycineta bicolor,
54,Turkey Vulture,Carthartes aura,
55,Unknown,,u
56,Violet-green Swallow,Tachycineta thalassina,
57,Western Spotted Skunk,Spilogale gracilis,
58,White-tailed Deer,Odocoileus virginianus,
59,Wild Turkey,Meleagris gallopavo,w
60,No Subject,,n
61,Gray Wolf,,
62,Lynx,,
63,Cattle,,k
65,black fox ,,
66,horse,,
67,blank ,,
68,whiteout ,,
69,Truck ,,t
70,Duck,,
71,moths,,
72,Bat,,
73,Frog,,
74,American Robin,,a
75,Clark's Nutcracker,,
76,Fox,,
77,Dusky Grouse,,
78,Rat,,
79,red tail hawk,,
80,Mountain Lion,,l
81,fox squirrel,Sciurus niger,
82,Mountain Cottontail Rabbit,,
83,Cottontail Rabbit,,
84,,,
85,American White Pelican,Pelecanus erythrorhynchos,
