SpeciesID,CommonName,LatinName,ShortcutKey
1,American Kestrel,Falco sparverius,c
2,American Crow,Corvus brachyrhynchos,b
3,Abert Squrriel,Spermophilus variegatus,a
4,American Pika,Ochotona princeps,d
5,Armadillo,Dasypus novemcinctus,e
6,Barn Swallow,Hirundo rustica,f
7,Big Horn Sheep,Ovis canadensis,g
8,Black Bear,Ursus americanus,
9,Black-billed Magpie,Pica hudsonia,
10,Black-capped Chickadee,Poecile atricapilla,
11,Blank,,
12,Blue Jay,Cyanocitta cristata,
13,Bobcat,Lynx rufus,
14,Cabro de Monte,,
15,Canada lynx,Lynx canadensis,
16,Codorniz,Coturnix coturnix,
17,Colorado Chipmonk,Neotamias quadrivittatus,
18,Common Ground-Dove,Columbina passerina,
19,Common Raven,Corvus corax,
20,Cooper's Hawk,Accipiter cooperii,
21,Cottontail Rabbit,Sylvilagus nuttallii,
22,Coyote,Canis latrans,
23,Dog,,
24,Horse,,
25,Elk,Cervus canadensis,
26,Golden Eagle,Aquila chrysaetos,
27,Great Horned Owl,Bubo virginianus,
28,Guatuza,Dasyprocta punctata,
29,Least Chipmonk,Neotamias minimus,
30,Manigordo,Leopardus pardalis,
31,Moose,Alces alces,
32,Mountain Bluebird,Sialia currucoides,
33,Mountain Chickadee,Poecile gambeli,
34,Mountain Goat,Oreamnos americanus,
35,Mourning Dove,Aenaida macroura,
36,Mule Deer,Odocoileus hemionus,
37,Osprey,Pandion haliaetus,
38,Pava Negra,Chamaepetes unicolor,
39,,,
40,Pizote,Nasua narica,
41,Puma,Puma concolor,
42,Raccoon,Procyon lotor,
43,Red Fox,Vulpes vulpes,
44,Red Fox Black Phase,Vulpes vulpes,
45,Red-tailed Hawk,Buteo jamaicensis,
46,Red-winged Blackbird,Agelaius phoeniceus,
47,Saino,Tayassu tajacu,
48,Snowshoe Hare,Lepus americanus,
49,Stellers Jay,Cyanocitta stellerii,
50,Striped skunk,Mephitis mephitis,
51,Swainson's Hawk,Buteo swainsoni,
52,Tolomuco,Eira barbara,
53,Tree Swallow,Tachycineta bicolor,
54,Turkey Vulture,Carthartes aura,
55,Unknown,,
56,Violet-green Swallow,Tachycineta thalassina,
57,Western Spotted Skunk,Spilogale gracilis,
58,White-tailed Deer,Odocoileus virginianus,
59,Wild Turkey,Meleagris gallopavo,
60,No Subject,,
61,Gray Wolf,Canis lupus,
62,Lynx,Lynx canadensis,
63,Cattle,,
65,American robin,Turdus migratorius,
66,Bird,,
67,Moth,,
68,,,
69,,,
71,Hummingbird,Trochilidae (family),
72,magpie,Pica pica,
73,Rock squrriel,Citellus variegatus,
79,,,
82,Mountain lion,Felis concolor,
84,Western medowlark,Sturnella neglecta,
88,Llama,,
93,Flycatcher,,
94,Northern Flicker,Colaptes auratus,
97,People,,
